financial_active,net_payment_behaviour_tripd,promotion_flag,variable_rate_index,account_status_code,active_12_mths,bank_fico_buckets_20,charge_off_reason_code,mob,open_closed_flag,ever_delinquent_flg,nbr_mths_due,variable_rate_margin,stmt_balance,prev_balance,net_sales,net_payments,purchase_active,credit_limit_amt,credit_limit_pa,closed,active,charge_off,charge_off_aged,charge_off_bk,principal_amt,principal_amt_chrg_off,total_writeoff_amt,fee_chg_off_reversal_amt,net_finance_charge,non_principal_amount_gross,non_principal_amount_net,non_principal_amount_stmt,aged_writeoff_amt,bankruptcy_writeoff_amt,fc_reversals,fee_reversals,fraud_writeoff_amt,other_writeoff_amt,promo_bal_amt,recovery_amt,writeoff_type_bko,writeoff_type_fraud_kiting,writeoff_type_fraud_synthetic,writeoff_type_deceased,writeoff_type_other,writeoff_type_aged,writeoff_type_settlement,writeoff_type_fraud_other,writeoff_type_repo,writeoff_type_null,writeoff_date,due_account_2,due_account_3,due_account_4,due_account_5,due_account_6,due_account_7,due_account_8,due_balance_2,due_balance_3,due_balance_4,due_balance_5,due_balance_6,due_balance_7,due_balance_8,snapshot,mth_code,industry
0.0,I,0,0,I 0-6,1.0,641-660,,39,1.0,0.0,0.0,NaN,0.0,1300.0,0.0,0.0,0.0,2000.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,49.9,153.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.34,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201901,B
0.0,I,1,0,A,1.0,661-680,,76,1.0,0.0,0.0,NaN,1712.57,1478.1,0.0,30.0,0.0,4900.0,0.0,0,1,0,0,0,594.53,0.0,0.0,0.0,0.0,0.0,0.0,70.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201904,C
1.0,I,0,0,I 13-24,1.0,681-700,,8,1.0,1.0,0.0,NaN,2070.78,510.44,0.0,57.0,0.0,4000.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.27,0.0,0.0,0.0,0.0,0.0,0.0,11431.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201907,B
1.0,I,1,0,I 7-12,1.0,761+,,66,1.0,0.0,0.0,19.65,162.83,926.42,733.62,100.0,0.0,1200.0,0.0,0,1,0,0,0,9183.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.18,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201901,B
0.0,P,0,1,A,1.0,761+,,123,1.0,0.0,0.0,NaN,0.0,630.01,0.0,233.14,1.0,11000.0,0.0,0,1,0,0,0,2187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201912,B
1.0,I,0,0,A,1.0,601-620,,62,1.0,0.0,0.0,NaN,1831.97,2946.2,0.0,0.0,0.0,4500.0,0.0,0,1,0,0,0,292.63,0.0,0.0,0.0,0.0,126.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201909,B
1.0,P,0,0,A,1.0,741-760,,5,1.0,0.0,0.0,NaN,5553.17,2313.38,64.84,0.0,0.0,1500.0,0.0,0,1,0,0,0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201909,B
1.0,P,1,0,I 0-6,0.0,761+,,64,1.0,0.0,2.0,NaN,0.0,8657.89,0.0,30.0,0.0,4500.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2302.96,0.0,201812,201909,B
1.0,I,0,0,A,1.0,641-660,,86,1.0,0.0,0.0,23.74,0.0,0.0,0.0,64.0,0.0,4500.0,2600.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.23,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201907,B
1.0,T,0,0,I 13-24,1.0,741-760,,34,1.0,0.0,3.0,NaN,0.0,0.0,0.0,262.0,1.0,2500.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201903,B
0.0,I,0,1,A,1.0,761+,,108,1.0,0.0,0.0,NaN,111.58,0.0,133.14,4244.72,1.0,1000.0,0.0,0,1,0,0,0,1338.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201910,B
1.0,I,0,1,I 7-12,1.0,741-760,,41,1.0,0.0,2.0,NaN,1810.42,788.3,0.0,50.0,1.0,4500.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201907,B
1.0,I,1,0,A,0.0,681-700,,7,1.0,0.0,0.0,NaN,6536.35,290.01,0.0,232.0,0.0,10000.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201908,B
0.0,T,1,0,A,0.0,701-720,,58,1.0,0.0,0.0,NaN,0.0,4604.44,0.0,0.0,0.0,6000.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,416.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201908,B
0.0,R,1,0,A,1.0,621-640,,377,1.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,1.0,6500.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.85,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201907,B
1.0,I,0,0,I 7-12,1.0,601-620,,2,1.0,1.0,0.0,19.65,0.0,598.99,0.0,107.0,0.0,2900.0,900.0,0,1,0,0,0,145.17,0.0,0.0,0.0,0.0,186.91,0.0,3513.72,0.0,0.0,0.0,0.0,0.0,0.0,399.27,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201905,C
1.0,P,0,1,A,0.0,761+,,13,1.0,0.0,0.0,19.65,1697.17,1591.6,0.0,166.54,0.0,9500.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201902,B
0.0,P,0,1,A,1.0,761+,,44,1.0,0.0,0.0,NaN,0.0,829.05,0.0,0.0,0.0,1200.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,304.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201901,A
1.0,I,0,0,A,1.0,681-700,,54,1.0,1.0,0.0,NaN,273.81,0.0,0.0,100.0,0.0,4500.0,0.0,0,1,0,0,0,3133.18,0.0,0.0,0.0,51.18,0.0,0.0,13.09,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201906,A
0.0,I,1,0,A,1.0,761+,,16,1.0,0.0,0.0,NaN,0.0,837.06,0.0,1000.0,0.0,2700.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201907,A
1.0,T,1,0,A,1.0,681-700,,66,1.0,1.0,0.0,NaN,0.0,2741.34,0.0,0.0,0.0,8500.0,0.0,0,1,0,0,0,2414.26,0.0,0.0,0.0,0.0,0.0,59.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201812,201910,B
