,index,Mnemonic,M_FHOFHOPIPOQ.IUSA,M_FYLE.IUSA,M_FRT.IUSA,M_FYPSAVQ.IUSA,M_FC.IUSA,FYPCPICA_FEDB.IUSA,M_FGDP.IUSA,M_FYHHAVGQ.IUSA,M_FYFMMEDQ.IUSA,FHCSWHPIQ_FEDB.IUSA,M_FUNI.IUSA,M_FYPQ.IUSA,M_FYHHMEDQ.IUSA,M_FLBR.IUSA,M_FGDP$.IUSA,M_FYPDPI$Q.IUSA,M_FSDEBT.IUSA,M_FSFORQ.IUSA,M_FCCALLQ.IUSA,M_FCCREVQ.IUSA,M_FCCNREVQ.IUSA,M_FRTFS.IUSA,M_FRTFSX.IUSA,M_FRTINETQ.IUSA,M_FCNGFO$.IUSA,M_FCNGFO.IUSA,M_FCSMED$.IUSA,M_FCSMED.IUSA,M_FET.IUSA,M_FLBF_POT.IUSA,M_FLBUK15GQ.IUSA,M_FLBF.IUSA,M_FLBE.IUSA,M_FLBU.IUSA,M_FLBT.IUSA,M_FBKP.IUSA,M_FBKPY.IUSA,M_FBKB.IUSA,M_FBKBY.IUSA,M_FRFED.IUSA,M_FRGT5Y.IUSA,M_FRGT10Y.IUSA,M_FYPDPIQ.IUSA,M_FAWHTP.IUSA,M_FAHETP.IUSA,M_FYPEWS$Q.IUSA,M_FAWOMF.IUSA,M_FECICCQ.IUSA,M_FCPIU.IUSA,M_FCPIUL1E.IUSA,M_FTAXFP.IUSA,M_FHOFHOPIQ.IUSA,M_FHCLHP1TI20Q.IUSA,M_FHST.IUSA,M_FHN1.IUSA,M_FHPNR.IUSA,M_FCUMF.IUSA,M_FSP500Q.IUSA,M_FCBC.IUSA,M_FYPSVQ.IUSA,M_FGDP$_POT.IUSA,M_FCCDBC.IUSA,M_FCCDCF.IUSA,M_FCCDRT.IUSA,M_FCCDAU.IUSA,M_FCCDRA.IUSA,M_FCCDRE.IUSA,M_FCCDRF.IUSA,M_FCCDSL.IUSA,M_FCCDTO.IUSA,M_FCCDOT.IUSA,M_FIP.IUSA,M_FYPTRPQ.IUSA,M_FPOPQ.IUSA,M_FPOP.IUSA,M_FPOP16GQ.IUSA,M_FRTB3M.IUSA,M_FZFL075035503Q.IUSA,M_FRBAAC.IUSA,M_FRFHLMCFM.IUSA,M_FRPRIME.IUSA,M_FDJMIIUSDDWCFTDQ.IUSA,M_FSPVOL.IUSA,M_FXSLASCILQ.IUSA,M_FXSLASINCCQ.IUSA,M_FPCNBEMP.IUSA,M_FBCFCOFCCQ.IUSA,M_FETP.IUSA,M_FLTV.IUSA,M_FC$.IUSA,M_FEIAMGTTQ.IUSA,M_FXCPMGASUQ.IUSA,M_FRBBBQ.IUSA,M_FHOWNRQ.IUSA,M_FIFR_FEDS.IUSA,M_FIFR$_FEDS.IUSA
0,223,1/31/2018,248.873161,10761.294,5181.42,7.1,13628.374,53049.86599,20073.62463,138178.1894,75120.61132,198.7368613,1033238.96,17294.84,61054.62179,4,18401.87663,14173.947,9.772692414,15.23942174,3833.32841,1025.11358,2808.21485,5911.2,4721.424,495.140421,450.717,346.438,2151.992,2298.833,147.672,163.6888274,2.392,161.068,154.486,6.582,62.7,762630.5549,763102.6775,21512.03051,23214.49088,1.416190476,2.381904762,2.583809524,15394.746,33.6,22.36,8169.323975,4.5,132.1453529,248.816,255.106,9.259089793,410.9376115,207.32,1.314,0.622,1.365,75.9111,2789.804028,124.3,1182.462,18407.86271,3.031429823,4.644262619,6.518161622,3.017237356,2.145574287,1.748547029,2.172640221,4.518935442,2.533886996,1.599929909,106.2655,194.211,326.170379,265.3250951,261.2067476,1.413333333,276.1777663,4.256190476,4.0325,4.5,29114.6175,0.415719254,-9.924649814,2.597738028,111.1292948,3.664279275,125.317,79.5,12775.504,2.6712,253.46,4.058025114,64.18299722,782.9992665,616.3053138
1,224,2/28/2018,250.8678133,10780.022,5215.572,7.2,13668.318,53233.38442,20141.45839,138578.5727,75283.48447,199.6959595,941822.3073,17354.081,61112.59526,4.1,18436.77838,14198.425,9.727890049,15.16709367,3846.03157,1025.93477,2820.09682,5937.78,4758.228,499.4110395,437.677,336.959,2155.568,2306.091,148.078,163.8994608,2.327,161.783,155.142,6.641,63,753848.5215,759899.0867,21420.04521,23217.64534,1.416315789,2.599473684,2.858947368,15462.77,33.8,22.4,8165.777289,4.6,132.521166,249.475,255.57,9.130005871,413.2924212,208.87,1.288,0.637,1.332,76.6964,2705.154693,130,1233.164,18435.94889,3.049007633,4.742958365,6.634509884,3.077298756,2.179494665,1.749812739,2.20715738,4.415242444,2.552633187,1.612922992,106.6419,194.53,326.3025009,265.4698104,261.3477763,1.567894737,273.691295,4.508947368,4.33,4.5,27980.69513,1.273649889,-9.938966626,0.99265788,111.2581892,3.65003925,125.672,79.3,12765.158,2.70475,256.9375,4.206673162,64.29943946,783.2181714,611.3780129
2,225,3/31/2018,251.6692577,10808.394,5198.868,7.2,13735.355,53417.1033,20251.37579,139015.1391,75437.82054,200.5767882,944446.3205,17415.962,61145.15811,4,18472.72336,14242.101,9.709184031,15.1361669,3858.3419,1026.5678,2831.77412,5936.964,4751.832,504.6803626,448.615,337.575,2161.016,2318.123,148.254,164.0006793,2.222,161.684,155.191,6.493,62.9,746937.8547,756722,25655.00691,23106,1.505454545,2.62952381,2.842380952,15538.678,33.7,22.49,8181.608908,4.6,132.8355294,249.413,256.075,9.068388325,415.4112983,209.68,1.335,0.662,1.415,76.7024,2702.774289,127,1244.939,18464.53184,3.052475199,4.794376637,6.61353586,2.993161986,2.159482267,1.718203728,2.187995703,4.409128139,2.527467183,1.607144646,107.2519,194.825,326.4320119,265.6117072,261.4856495,1.696666667,273.241,4.64,4.444,4.579545455,27383.02179,1.355137992,-10.13637753,2.110090569,111.3474953,3.635682638,125.85,79.2,12808.044,2.709,255.9775,4.374298511,64.41750914,784.8495621,608.5116733
3,226,4/30/2018,252.3962837,10850.006,5220.732,7.2,13792.129,53607.57795,20361.7524,139415.5111,75597.31004,201.4000922,966424.254,17472.708,61180.98257,4,18514.26033,14275.942,9.707563854,15.13221047,3870.93208,1028.55087,2842.38123,5951.604,4761.924,510.4051656,448.459,343.601,2165.024,2327.415,148.391,164.0227136,2.343,161.742,155.324,6.418,62.9,757971.9314,754874.586,19866.09381,22850.35767,1.692380952,2.701904762,2.869047619,15585.65,33.8,22.55,8189.955241,4.8,133.1165123,249.957,256.487,9.080183554,417.4055626,210.31,1.269,0.637,1.387,77.0397,2653.623861,125.6,1201.842,18494.50962,3.044726304,4.758103965,6.524480981,2.840204693,2.11918508,1.665468673,2.148074001,4.482154797,2.486718316,1.570407252,108.2223,196.147,326.5625926,265.7547351,261.6242878,1.757619048,277.1770916,4.669047619,4.4675,4.75,27452.68945,1.245949912,-10.5820661,5.376446944,111.4303619,3.627843586,125.977,79.2,12863.202,2.8732,272.104,4.530713379,64.50872796,787.5053156,607.2579171
4,227,5/31/2018,253.7272947,10884.605,5277.108,7.2,13860.171,53798.93234,20482.75073,139951.8411,75770.1069,202.1334282,955945.667,17547.574,61262.2606,3.8,18563.3238,14320.704,9.70766498,15.13091694,3892.72885,1035.93303,2856.79584,6028.212,4832.124,515.0789764,448.375,352.508,2173.391,2340.258,148.669,164.0213039,2.186,161.874,155.665,6.209,62.9,754202.947,753924.1984,21507.75239,22519.08915,1.7,2.816818182,2.977727273,15651.815,33.8,22.61,8183.759031,4.5,133.3923521,250.64,257.057,9.10659523,419.3069675,210.84,1.334,0.657,1.33,76.4219,2701.493531,128.8,1172.846,18524.82901,3.067083385,4.574507069,6.689491015,2.928615265,2.117900475,1.652496475,2.146881568,4.249493378,2.466229626,1.543458802,107.3639,196.418,326.6889617,265.8930527,261.7582743,1.864090909,283.0885965,4.825454545,4.586,4.75,28166.29866,0.859061305,-11.22572533,9.54787632,111.5435283,3.634637848,126.238,78.9,12918.212,2.98675,290.12,4.625637301,64.52811155,789.9358207,606.4957157
5,228,6/30/2018,254.8264638,10938.375,5250.324,7.4,13900.213,53991.49272,20566.09014,140544.0184,75971.59994,202.7865987,927683.6976,17631.941,61423.00295,4,18619.50574,14374.85,9.698625845,15.11454124,3898.69602,1038.02988,2860.66617,6013.596,4818.9,517.9077044,450.701,360.37,2185.628,2356.614,148.888,164.0460275,2.322,162.269,155.75,6.519,63,750026.1073,753333,21311.01781,22245,1.820952381,2.775714286,2.912380952,15722.292,33.8,22.67,8199.580011,4.5,133.6913904,251.176,257.422,9.121176864,421.1892441,211.39,1.19,0.613,1.317,76.9691,2754.352541,127.1,1187.509,18555.39407,3.039641728,4.716831829,6.567921087,2.923746474,1.98675042,1.596395733,2.013106238,4.167205159,2.371999107,1.543844936,108.1707,196.675,326.8109,266.026272,261.8873995,1.899047619,286.8279999,4.834761905,4.57,4.892857143,28313.7738,0.571396419,-12.09216494,13.27591612,111.7120996,3.65751949,126.429,78.7,12946.163,2.9695,292.225,4.637646914,64.46222344,791.1338637,605.1493672
6,229,7/31/2018,255.8970963,11000.556,5285.064,7.5,13952.254,54185.6046,20646.54348,141261.2749,76224.03195,203.3934221,963218.7712,17734.206,61670.89609,3.8,18672.253,14439.997,9.687634225,15.09228553,3916.32566,1040.84426,2875.48143,6046.008,4849.56,519.7360551,451.172,361.694,2198.94,2374.495,149.024,164.1059839,2.384,162.173,155.993,6.18,62.9,756973.4348,752585.4499,22267.52353,22098.08331,1.91,2.777619048,2.889047619,15794.817,33.8,22.71,8223.081589,4.5,134.0038356,251.482,257.902,9.111713879,423.0062345,211.8,1.195,0.617,1.331,77.2364,2793.644123,127.9,1180.519,18586.1364,3.089767679,4.594892731,6.588873767,2.902095143,2.090609717,1.603057918,2.121280188,4.396073295,2.472497513,1.530123005,108.652,199.357,326.9296965,266.155359,262.0124328,1.957142857,285.9020811,4.791428571,4.5275,5,29230.10911,0.565932631,-13.45802995,15.05504699,111.9163532,3.680372944,126.562,79,12992.581,2.9278,288.464,4.6120216,64.37585739,790.9165229,603.0620194
7,230,8/31/2018,257.1583704,11056.842,5278.512,7.6,14001.103,54384.72451,20705.33069,141810.1233,76556.76181,204.0070783,920299.8511,17816.817,62008.85913,3.8,18708.11823,14495.038,9.687997332,15.08235045,3935.22786,1046.36426,2888.86363,6034.5,4856.136,522.0236505,448.446,361.597,2206.797,2383.377,149.268,164.1978112,2.254,161.768,155.601,6.167,62.7,768416.8996,751809.3701,20878.73277,22067.75548,1.914782609,2.767826087,2.889130435,15861.3,33.8,22.79,8263.445225,4.5,134.311891,251.905,258.065,9.079207443,424.7002085,211.72,1.28,0.598,1.258,77.5066,2857.820945,134.7,1191.738,18617.49798,3.054153997,4.666452587,6.580698421,2.91982764,2.035640454,1.605573891,2.062002397,4.677375357,2.460223583,1.527566799,109.5246,199.596,327.0491512,266.2838997,262.136569,2.033913043,282.0487882,4.766086957,4.55,5,30184.09803,0.500130437,-15.70905517,13.31138846,112.1240083,3.68101517,126.778,78.8,13035.279,2.91425,287.6625,4.617717228,64.3609134,789.3029976,600.2356039
8,231,9/30/2018,257.5543485,11071.396,5272.152,7.7,14013.025,54582.57541,20709.96619,141969.5417,76971.1535,204.6348162,867469.6417,17850.691,62416.58347,3.7,18718.87537,14495.608,9.706854272,15.09545966,3951.89583,1048.58887,2903.30698,6028.884,4845.972,525.7403974,439.266,350.347,2203.772,2383.141,149.348,164.3048497,2.23,162.078,156.032,6.045,62.8,708143.7816,751272,21365.19815,22103,1.948947368,2.893684211,3.004210526,15869.966,33.7,22.86,8259.402728,4.5,134.5937492,252.261,258.606,9.055436965,426.1881629,212.88,1.246,0.596,1.29,77.4407,2901.500251,135.3,1186.889,18648.43914,3.058000206,4.654862973,6.396588741,2.880530452,2.055725053,1.571514828,2.085134081,4.574179429,2.453855488,1.505527652,109.6749,199.818,327.1669362,266.4091553,262.2570945,2.126315789,278.461,4.883684211,4.6275,5.026315789,30189.60364,0.435320384,-18.53251621,7.633722745,112.3016461,3.648614399,126.859,78,13031.547,2.91475,287.245,4.696259379,64.46533689,786.7324795,597.0563768
9,232,10/31/2018,258.4575107,11075.242,5329.776,7.6,14096.453,54782.50649,20786.32137,142409.9521,77449.87931,205.2661934,948989.738,17919.92,62869.89851,3.8,18718.4739,14542.165,9.73320039,15.11834661,3969.87832,1055.15595,2914.72238,6096.432,4900.752,530.8598092,445.137,363.978,2192.321,2375.654,149.549,164.3888625,2.211,162.605,156.482,6.123,62.9,769313.5728,751102.0168,24048.44888,22161.96084,2.188181818,3.000454545,3.152272727,15931.508,33.7,22.9,8254.133684,4.5,134.8747928,252.777,258.993,9.014182756,427.63703,213.52,1.207,0.552,1.267,77.2898,2785.464878,137.9,1168.784,18679.54238,3.082056358,4.567728996,6.599617197,2.96192527,2.037552794,1.560991511,2.067293984,4.746495404,2.471183959,1.52736087,109.9165,192.282,327.2855003,266.5343214,262.3776284,2.249090909,277.2411757,5.066086957,4.83,5.25,27923.92678,0.804743238,-19.97388511,0.695089206,112.4518959,3.605847662,127.064,78.4,13082.152,2.9426,289.058,4.809744127,64.60498768,784.3634066,594.1644085
