,financial_active,net_payment_behaviour_tripd,promotion_flag,variable_rate_index,account_status_code,active_12_mths,bank_fico_buckets_20,charge_off_reason_code,mob,open_closed_flag,ever_delinquent_flg,nbr_mths_due,variable_rate_margin,stmt_balance,prev_balance,net_sales,net_payments,purchase_active,credit_limit_amt,credit_limit_pa,closed,active,charge_off,charge_off_aged,charge_off_bk,principal_amt,principal_amt_chrg_off,total_writeoff_amt,fee_chg_off_reversal_amt,net_finance_charge,non_principal_amount_gross,non_principal_amount_net,non_principal_amount_stmt,aged_writeoff_amt,bankruptcy_writeoff_amt,fc_reversals,fee_reversals,fraud_writeoff_amt,other_writeoff_amt,promo_bal_amt,recovery_amt,writeoff_type_bko,writeoff_type_fraud_kiting,writeoff_type_fraud_synthetic,writeoff_type_deceased,writeoff_type_other,writeoff_type_aged,writeoff_type_settlement,writeoff_type_fraud_other,writeoff_type_repo,writeoff_type_null,writeoff_date,due_account_2,due_account_3,due_account_4,due_account_5,due_account_6,due_account_7,due_account_8,due_balance_2,due_balance_3,due_balance_4,due_balance_5,due_balance_6,due_balance_7,due_balance_8,snapshot,mth_code,industry
337775,1.0,D,1,1,A,1.0,641-660,,8,1.0,0.0,2.0,,0.0,1962.32,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,736.03,7960.32,0.0,0.0,0.0,0.0,0.0,4944.42,0.0,75.83,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201802,C
337776,1.0,P,1,0,A,1.0,<= 560,,13,1.0,0.0,3.0,,45.0,958.61,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,9145.21,313.0,644.05,0.0,0.0,0.0,0.0,1195.03,2752.84,391.77,266.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201903,A
337777,1.0,D,0,0,I 0-6,1.0,641-660,,27,0.0,1.0,2.0,,2983.65,750.09,0.0,0.0,0.0,1500.0,0.0,0,0,1,0,0,0.0,1168.96,1511.0,1821.99,0.0,0.0,0.0,0.0,1699.11,0.0,396.81,305.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2019-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201904,A
337778,0.0,D,1,0,A,1.0,621-640,,2,0.0,0.0,0.0,,0.0,2073.12,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,489.7,1011.86,313.92,0.0,0.0,39.01,0.0,2844.62,0.0,82.94,195.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2019-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201803,C
337779,1.0,D,0,0,A,1.0,<= 560,,20,1.0,0.0,2.0,,0.0,722.67,0.0,0.0,0.0,1140.0,0.0,0,0,1,1,0,0.0,5119.1,698.61,806.47,0.0,0.0,0.0,0.0,3593.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2019-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201808,B
337780,1.0,T,0,1,A,1.0,<= 560,,27,1.0,1.0,0.0,,0.0,666.21,0.0,0.0,0.0,2400.0,0.0,0,0,1,0,0,0.0,2989.97,4104.96,540.5,0.0,0.0,0.0,0.0,0.0,0.0,1709.88,255.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2019-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201807,A
337781,1.0,P,1,0,A,1.0,681-700,,12,1.0,0.0,0.0,,0.0,460.33,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,995.0,1027.86,1615.41,0.0,0.0,0.0,0.0,3391.81,3877.38,211.88,293.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201805,A
337782,1.0,P,1,0,I 0-6,1.0,<= 560,,5,1.0,0.0,4.0,,3678.02,1745.78,0.0,0.0,0.0,2400.0,0.0,0,0,1,0,0,0.0,1639.17,961.29,1080.53,64.29,0.0,0.0,0.0,1635.34,0.0,808.51,255.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2208.19,0.0,0.0,0.0,0.0,0.0,0.0,201801,201806,B
337783,1.0,P,0,0,A,1.0,661-680,,34,1.0,0.0,0.0,,0.0,719.54,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,736.09,618.13,2345.22,0.0,0.0,0.0,0.0,1048.11,0.0,1943.18,498.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201910,B
337784,1.0,D,0,0,A,1.0,601-620,,24,1.0,0.0,0.0,,0.0,5610.73,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,0.0,1150.7,0.0,0.0,0.0,0.0,0.0,1010.15,142.3,25.76,249.0,0.0,615.52,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201801,201808,A
